Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Far Cry 2,PS3,2008,Action,Ubisoft,0.43,0.69,0.01,0.26,1.38,85,49,6.4,241
Yoshi's New Island,3DS,2014,Platform,Nintendo,0.48,0.53,0.28,0.09,1.38,64,71,6.1,155
LEGO Batman 2: DC Super Heroes,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.9,0.37,0,0.11,1.38,0,0,7.1,12
True Crime: Streets of LA,XB,2003,Action,Activision,0.96,0.37,0,0.05,1.38,77,39,7.8,28
Toy Story 3: The Video Game,Wii,2010,Action,Disney Interactive Studios,0.63,0.62,0,0.14,1.38,0,0,0,0
Bravely Default: Flying Fairy,3DS,2012,Role-Playing,Nintendo,0.5,0.32,0.49,0.08,1.38,0,0,0,0
Ryse: Son of Rome,XOne,2013,Action,Microsoft Game Studios,0.83,0.43,0,0.13,1.38,60,77,6.1,1409
Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment,1.03,0.21,0,0.14,1.38,86,21,7.3,279
Paper Mario,N64,2000,Role-Playing,Nintendo,0.58,0.18,0.59,0.02,1.38,0,0,0,0
Rise of the Tomb Raider,XOne,2015,Adventure,Square Enix,0.55,0.7,0.02,0.11,1.38,86,102,8,1288
Duke Nukem: Time to Kill,PS,1998,Shooter,Take-Two Interactive,0.77,0.54,0,0.07,1.38,0,0,0,0
Sonic Generations,X360,2011,Platform,Sega,0.71,0.53,0,0.13,1.38,77,49,8.3,340
Dave Mirra Freestyle BMX 2,PS2,2001,Sports,Acclaim Entertainment,0.67,0.53,0,0.18,1.38,81,21,8.1,18
Bakugan: Battle Brawlers,DS,2009,Action,Activision,1.26,0.02,0,0.1,1.38,60,6,6.7,7
LEGO Indiana Jones: The Original Adventures,PS2,2008,Action,LucasArts,0.6,0.01,0,0.76,1.37,77,12,8.4,16
Deus Ex: Human Revolution,X360,2011,Shooter,Square Enix,0.76,0.47,0.02,0.12,1.37,89,70,8.3,684
A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision,0.76,0.52,0,0.09,1.37,0,0,0,0
Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,Square Enix,0.33,0.41,0.54,0.1,1.37,81,44,6.1,60
Call of Duty: Black Ops,Wii,2010,Shooter,Activision,0.8,0.45,0,0.12,1.37,80,25,5.8,87
Deus Ex: Human Revolution,PS3,2011,Shooter,Square Enix,0.5,0.59,0.07,0.22,1.37,89,50,8.2,682
Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004,Role-Playing,Activision,0.99,0.33,0,0.05,1.37,86,67,8.6,140
Pocket Monsters Stadium,N64,1998,Strategy,Nintendo,0,0,1.37,0,1.37,0,0,0,0
The Sims 2,PSP,2005,Simulation,Electronic Arts,0.49,0.55,0,0.33,1.37,65,17,6.9,32
Dead Rising 2,PS3,2010,Action,Capcom,0.43,0.56,0.15,0.21,1.36,80,54,6.7,178
Ridge Racer 7,PS3,2006,Racing,Namco Bandai Games,0.24,0.7,0.16,0.26,1.36,78,45,7.1,52
Tom Clancy's Ghost Recon 2,XB,2004,Shooter,Ubisoft,0.86,0.45,0,0.06,1.36,80,53,8.9,58
Need for Speed: The Run,X360,2011,Action,Electronic Arts,0.63,0.57,0,0.15,1.36,68,65,6,160
Crash Bandicoot 2: N-Tranced,GBA,2003,Platform,Vivendi Games,0.63,0.66,0,0.07,1.36,75,21,7.8,30
Titanfall,X360,2014,Shooter,Electronic Arts,0.87,0.34,0.02,0.13,1.36,83,21,5.9,371
SingStar Abba,PS2,2008,Misc,Sony Computer Entertainment,0.23,0.04,0,1.09,1.36,64,11,tbd,0
Gradius,NES,1986,Shooter,Konami Digital Entertainment,0.27,0.08,1,0.01,1.36,0,0,0,0
Dragon Quest III: Soshite Densetsu e...,SNES,1996,Role-Playing,Enix Corporation,0,0,1.36,0,1.36,0,0,0,0
Centipede,2600,1981,Shooter,Atari,1.26,0.08,0,0.01,1.36,0,0,0,0
Dead to Rights,PS2,2002,Shooter,Electronic Arts,0.67,0.52,0,0.17,1.36,73,20,8.9,36
WWE '13,PS3,2012,Action,THQ,0.51,0.6,0,0.25,1.35,76,24,8.1,99
Dance Dance Revolution (Japan),PS,1999,Simulation,Konami Digital Entertainment,0,0,1.26,0.09,1.35,0,0,0,0
Hasbro Family Game Night 2,Wii,2009,Misc,Electronic Arts,0.7,0.52,0,0.13,1.35,63,16,6.3,6
Madden NFL 98,PS,1997,Sports,Electronic Arts,1.29,0.03,0,0.03,1.35,0,0,0,0
Gardening Mama,DS,2009,Puzzle,505 Games,0.79,0.42,0.01,0.13,1.35,60,17,9.3,4
Burnout Paradise,X360,2008,Racing,Electronic Arts,0.63,0.57,0.01,0.14,1.35,88,68,6.9,279
Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.73,0.5,0.01,0.12,1.35,87,12,8,585
MotorStorm: Pacific Rift,PS3,2008,Racing,Sony Computer Entertainment,0.43,0.65,0.02,0.25,1.35,82,63,8,318
Samurai Warriors,PS2,2004,Action,Electronic Arts,0.22,0.05,1.06,0.02,1.35,73,37,8.7,23
Battlefield 4,PC,2013,Shooter,Electronic Arts,0.39,0.87,0,0.1,1.35,81,52,6,3517
The Simpsons: Hit & Run,XB,2003,Racing,Vivendi Games,0.7,0.58,0,0.07,1.35,0,0,0,0
Gears of War 4,XOne,2016,Shooter,Microsoft Game Studios,0.78,0.44,0,0.12,1.35,84,96,6.2,815
SaGa Frontier,PS,1997,Role-Playing,SquareSoft,0.15,0.04,1.07,0.09,1.35,0,0,0,0
SingStar Party,PS2,2004,Misc,Sony Computer Entertainment,0,1.04,0,0.31,1.35,0,0,0,0
FIFA Soccer 08,PSP,2007,Sports,Electronic Arts,0.2,0.76,0,0.39,1.35,79,7,7.4,15
FIFA Soccer 09,PSP,2008,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35,84,8,8.9,21
Disney Princess: Enchanted Journey,Wii,2007,Adventure,Disney Interactive Studios,1.22,0.03,0,0.09,1.35,0,0,4.3,4
FIFA Soccer 08,X360,2007,Sports,Electronic Arts,0.31,0.89,0.01,0.14,1.35,82,43,7.9,57
Test Drive,PS2,2002,Racing,Atari,0.95,0.21,0.01,0.18,1.34,73,19,7.4,23
Devil May Cry 4,X360,2008,Action,Capcom,0.79,0.34,0.08,0.13,1.34,84,61,8,248
Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,Shooter,Ubisoft,0.66,0.44,0.04,0.21,1.34,81,32,7.9,93
Metroid: Other M,Wii,2010,Action,Nintendo,0.85,0.27,0.13,0.1,1.34,79,71,6.5,482
Crysis 2,X360,2011,Action,Electronic Arts,0.71,0.49,0.02,0.12,1.34,84,72,7.5,533
Chrono Trigger,DS,2008,Role-Playing,Square Enix,0.61,0.16,0.49,0.08,1.34,92,57,8.9,440
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,Fighting,Capcom,0.81,0.28,0.11,0.14,1.34,84,56,7.3,147
Mortal Kombat 3,GEN,1994,Fighting,Acclaim Entertainment,1.03,0.27,0,0.04,1.34,0,0,0,0
Doom 3,XB,2005,Shooter,Activision,0.85,0.43,0,0.06,1.34,88,71,7.4,116
Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft,0.77,0.45,0,0.12,1.34,74,24,6.9,252
F1 2010,PS3,2010,Racing,Codemasters,0.25,0.75,0.08,0.26,1.34,84,46,7.8,83
Monster Hunter Freedom,PSP,2005,Role-Playing,Capcom,0.24,0.03,1.03,0.04,1.34,71,34,8.6,78
Donkey Kong Jungle Beat,GC,2004,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34,80,49,8.3,30
Need for Speed Carbon,PS2,2006,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34,74,26,8.4,60
Lost Planet: Extreme Condition,X360,2006,Shooter,Capcom,1.09,0.04,0.1,0.1,1.34,79,76,7.1,187
Command & Conquer: Red Alert 2,PC,2000,Strategy,Electronic Arts,1.32,0.02,0,0,1.34,0,0,0,0
NBA 2K15,PS3,2014,Sports,Take-Two Interactive,0.87,0.21,0.02,0.24,1.34,0,0,3.5,22
Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,Take-Two Interactive,0.65,0.51,0,0.17,1.34,73,27,8.2,63
Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts,0.76,0.35,0.05,0.18,1.34,84,50,8.1,203
MVP Baseball 2004,PS2,2004,Sports,Electronic Arts,1.1,0.06,0,0.18,1.34,90,28,8.6,51
Yokai Watch 3,3DS,2016,Action,Level 5,0,0,1.33,0,1.33,0,0,0,0
Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004,Platform,Sony Computer Entertainment,1.27,0.05,0,0.02,1.33,0,0,0,0
Alan Wake,X360,2010,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,83,100,8.1,1156
Spider-Man: The Movie,GBA,2002,Action,Activision,0.92,0.35,0.01,0.05,1.33,0,0,0,0
WWF War Zone,N64,1998,Fighting,Acclaim Entertainment,1.08,0.24,0,0.02,1.33,0,0,0,0
Tony Hawk's Pro Skater,GB,2000,Sports,Activision,0.9,0.38,0.01,0.05,1.33,0,0,0,0
The Sims: Bustin' Out,GBA,2003,Simulation,Electronic Arts,0.93,0.35,0,0.06,1.33,0,0,0,0
Triple Play 2001,PS,2000,Sports,Electronic Arts,0.74,0.5,0,0.09,1.33,0,0,0,0
Metroid Prime 2: Echoes,GC,2004,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33,92,60,8.8,279
The Elder Scrolls V: Skyrim,PS4,2016,Role-Playing,Bethesda Softworks,0.48,0.59,0.04,0.21,1.33,0,0,0,0
Corvette,PS2,2004,Racing,TDK Mediactive,0.65,0.51,0,0.17,1.33,57,15,6.5,21
WWE SmackDown vs Raw 2008,PS3,2007,Fighting,THQ,0.62,0.49,0.01,0.2,1.33,74,27,7.3,41
Skylanders SWAP Force,X360,2013,Platform,Activision,0.86,0.34,0,0.12,1.32,83,37,5.7,45
Grand Theft Auto: Chinatown Wars,DS,2009,Action,Take-Two Interactive,0.58,0.56,0.05,0.14,1.32,93,85,8.3,280
UFC Undisputed 2010,X360,2010,Fighting,THQ,0.9,0.31,0,0.11,1.32,84,70,6.7,80
World of Warcraft: Wrath of the Lich King,PC,2008,Role-Playing,Activision,0.01,0.13,0,1.18,1.32,91,47,7.5,930
Gyromite,NES,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32,0,0,0,0
TOCA 2: Touring Cars,PS,1998,Racing,Codemasters,0.03,1.16,0.02,0.11,1.32,0,0,0,0
NFL 2K3,PS2,2002,Sports,Atari,1.06,0.08,0,0.18,1.32,93,20,7.4,25
Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32,70,71,7.2,318
Fighting Force,PS,1997,Fighting,Eidos Interactive,0.73,0.5,0,0.09,1.32,0,0,0,0
Petz Wild Animals: Dolphinz,DS,2007,Simulation,Ubisoft,0.71,0.48,0,0.13,1.32,0,0,tbd,0
Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,2003,Role-Playing,Capcom,0.31,0.04,0.96,0.01,1.32,0,0,0,0
Your Shape: Fitness Evolved,X360,2010,Sports,Ubisoft,0.79,0.41,0,0.11,1.32,73,32,7.5,25
Need for Speed Underground Rivals,PSP,2005,Racing,Electronic Arts,0.69,0.37,0.02,0.24,1.32,74,36,8.5,38
Madden NFL 97,PS,1996,Sports,Electronic Arts,0.73,0.5,0,0.09,1.32,0,0,0,0
The ICO & Shadow of the Colossus Collection,PS3,2011,Adventure,Sony Computer Entertainment,0.67,0.34,0.13,0.17,1.31,0,0,0,0
TNN Motor Sports Hardcore 4x4,PS,1996,Racing,ASC Games,0.73,0.5,0,0.09,1.31,0,0,0,0
MAG: Massive Action Game,PS3,2010,Shooter,Sony Computer Entertainment,0.77,0.29,0.09,0.16,1.31,0,0,0,0
IHRA Drag Racing 2,PS2,2002,Racing,Bethesda Softworks,0.64,0.5,0,0.17,1.31,0,0,7.4,63
Rage,PS3,2011,Shooter,Bethesda Softworks,0.47,0.58,0.06,0.2,1.31,81,37,6.2,353
LEGO Harry Potter: Years 1-4,PS3,2010,Action,Warner Bros. Interactive Entertainment,0.55,0.55,0,0.21,1.31,79,42,8,52
Madagascar,PS2,2005,Platform,Activision,0.78,0.45,0,0.07,1.31,69,25,7.4,25
The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,0.69,0.5,0,0.11,1.31,91,13,9.2,3963
Rugrats Studio Tour,PS,1999,Adventure,THQ,0.57,0.67,0,0.07,1.31,0,0,0,0
Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1.22,0.07,0,0.02,1.31,0,0,0,0
Turok: Evolution,PS2,2002,Shooter,Acclaim Entertainment,0.64,0.5,0,0.17,1.31,61,20,7.3,27
[Prototype],X360,2009,Action,Activision,0.84,0.35,0,0.12,1.31,78,83,7.8,356
Burnout 3: Takedown,XB,2004,Racing,Electronic Arts,0.84,0.43,0,0.04,1.31,94,76,7.2,139
The Beatles: Rock Band,X360,2009,Misc,MTV Games,0.97,0.23,0,0.11,1.3,89,76,8.6,127
Adventure,2600,N/A,Adventure,Atari,1.21,0.08,0,0.01,1.3,0,0,0,0
Yu-Gi-Oh! The Sacred Cards,GBA,2002,Role-Playing,Konami Digital Entertainment,0.94,0.35,0,0.02,1.3,0,0,0,0
NBA Live 07,PS2,2006,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3,63,12,6,39
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3,78,83,8.5,376
Skylanders Giants,X360,2012,Action,Activision,0.75,0.44,0,0.11,1.3,80,35,6.6,38
SingStar '80s,PS2,2005,Misc,Sony Computer Entertainment,0.27,0.02,0,1.02,1.3,78,22,8.3,6
Romancing SaGa 3,SNES,1995,Role-Playing,SquareSoft,0,0,1.29,0.01,1.3,0,0,0,0
Test Drive 5,PS,1997,Racing,Accolade,1.05,0.2,0,0.05,1.3,0,0,0,0
Tekken 6,X360,2009,Fighting,Namco Bandai Games,0.71,0.41,0.05,0.12,1.3,80,59,7,132
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,0.62,0.56,0,0.11,1.3,78,22,6.1,402
Digimon World,PS,1999,Role-Playing,Namco Bandai Games,0.56,0.38,0.28,0.08,1.3,0,0,0,0
Far Cry 4,PS3,2014,Shooter,Ubisoft,0.34,0.68,0.08,0.19,1.29,0,0,7.3,113
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,0.5,0.16,0.58,0.05,1.29,68,25,8.2,25
LEGO Batman: The Videogame,PS3,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.39,0,0.19,1.29,75,24,7.7,33
Mega Man Battle Network 3 Blue / White Version,GBA,2002,Role-Playing,Capcom,0.39,0.02,0.85,0.03,1.29,0,0,0,0
Resident Evil Zero,GC,2002,Action,Capcom,0.54,0.27,0.45,0.04,1.29,0,0,0,0
High School Musical 3: Senior Year DANCE!,Wii,2008,Misc,Disney Interactive Studios,0.67,0.49,0,0.13,1.29,0,0,0,0
Crysis 2,PS3,2011,Action,Electronic Arts,0.46,0.56,0.06,0.21,1.29,85,54,7.2,406
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive,0.93,0.34,0,0.02,1.29,49,10,6.2,5
Mario & Luigi: Partners in Time,DS,2005,Role-Playing,Nintendo,0.74,0.05,0.43,0.07,1.29,0,0,0,0
Namco Museum DS,DS,2007,Misc,Atari,1.13,0.01,0.06,0.09,1.29,67,19,5.9,8
Deal or No Deal,Wii,2009,Misc,Zoo Games,1.2,0,0,0.09,1.29,56,4,5,5
Transformers,PS2,2004,Shooter,Atari,0.63,0.49,0,0.16,1.29,75,51,8.6,27
Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,0.12,1.29,74,26,7.8,387
Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.51,0.67,0,0.1,1.29,84,38,5.4,7512
Sonic Colors,DS,2010,Platform,Sega,0.69,0.47,0.01,0.12,1.29,79,26,7.9,66
Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,72,53,7.5,292
EA Playground,Wii,2007,Sports,Electronic Arts,0.68,0.47,0,0.13,1.29,66,32,7.6,30
Midnight Club 3: DUB Edition (America weekly sales),PS2,2005,Racing,Take-Two Interactive,1.22,0.05,0,0.01,1.29,0,0,0,0
Gold's Gym: Cardio Workout,Wii,2008,Sports,Ubisoft,1.1,0.03,0.06,0.09,1.28,0,0,8.4,13
The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks,0.78,0.38,0,0.12,1.28,77,11,8.4,613
Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment,0.63,0.49,0,0.16,1.28,85,51,8.4,57
LEGO Batman: The Videogame,PSP,N/A,Action,Warner Bros. Interactive Entertainment,0.57,0.44,0,0.27,1.28,73,5,7.4,10
Yakuman,GB,1989,Misc,Nintendo,0,0,1.28,0,1.28,0,0,0,0
Army Men 3D,PS,1999,Action,3DO,1.1,0.14,0,0.04,1.28,0,0,0,0
Imagine: Wedding Designer,DS,2008,Simulation,Ubisoft,0.55,0.59,0,0.14,1.28,0,0,tbd,0
Twisted Metal 4,PS,1999,Racing,989 Studios,1.07,0.16,0,0.04,1.28,0,0,0,0
Manhunt,PS2,2003,Action,Take-Two Interactive,0.63,0.49,0,0.16,1.28,76,47,8.3,136
Need for Speed Carbon,Wii,2006,Racing,Electronic Arts,0.45,0.66,0.02,0.15,1.28,67,21,7.3,26
Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment,0.62,0.49,0,0.16,1.28,89,34,8.9,557
Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,93,12,9.4,358
Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1.03,0.14,0,0.1,1.27,73,16,7.2,19
The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.47,0,0.11,1.27,69,8,7.2,26
The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1.22,0.05,0,0,1.27,76,31,6.6,71
Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,0.4,0.33,0.4,0.15,1.27,91,69,8.1,1107
Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.27,83,75,8.7,487
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,0.44,0.29,0.47,0.07,1.27,59,46,6.3,134
LEGO Batman: The Videogame,PS2,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.03,0,0.52,1.27,77,8,8.9,17
Road Rash,PS,1995,Racing,Electronic Arts,0.71,0.48,0,0.08,1.27,0,0,0,0
Atlantis,2600,1981,Shooter,Imagic,1.18,0.08,0,0.01,1.27,0,0,0,0
NBA 2K9,X360,2008,Sports,Take-Two Interactive,1,0.16,0,0.11,1.27,84,32,7.2,44
Tony Hawk's Underground,XB,2003,Sports,Activision,0.85,0.37,0,0.05,1.27,85,33,9.1,26
Hogan's Alley,NES,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27,0,0,0,0
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27,75,70,6.2,1311
Mystery Case Files: MillionHeir,DS,2008,Adventure,Nintendo,0.75,0.39,0,0.12,1.27,65,28,tbd,0
.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,75,35,8.5,60
Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,0.96,0.2,0,0.11,1.27,30,4,2,23
Valkyria Chronicles,PS3,2008,Role-Playing,Sega,0.71,0.19,0.24,0.13,1.27,86,60,8.6,433
WWE '12,X360,2011,Fighting,THQ,0.74,0.4,0,0.12,1.27,71,52,6.3,89
Sonic Adventure DX: Director's Cut,GC,2003,Platform,Sega,0.87,0.3,0.06,0.03,1.27,57,27,7.9,139
Jet Li: Rise to Honor,PS2,2004,Action,Sony Computer Entertainment,0.62,0.48,0,0.16,1.27,0,0,0,0
Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27,69,4,6.3,4
WWE '13,X360,2012,Action,THQ,0.72,0.44,0,0.11,1.27,78,46,8,110
Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix,0.43,0.36,0.32,0.16,1.27,85,50,8.5,332
Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,0.33,0.69,0.05,0.19,1.27,80,6,4.9,123
EA Sports Active 2,Wii,2010,Sports,Electronic Arts,0.76,0.39,0,0.11,1.26,79,8,8.1,22
Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,0.39,0.72,0,0.15,1.26,68,36,5.8,21
Devil Dice,PS,1998,Puzzle,THQ,0.05,0.03,1.1,0.08,1.26,0,0,0,0
Football Manager 2011,PC,2010,Sports,Sega,0,1.01,0,0.25,1.26,85,23,8.4,77
Brian Lara Cricket,PS,1998,Sports,Codemasters,0.02,1.13,0.01,0.1,1.26,0,0,0,0
Championship Manager 03/04,PC,2003,Sports,Eidos Interactive,0,1.15,0,0.11,1.26,0,0,0,0
Wheel of Fortune,PS,1998,Misc,Hasbro Interactive,0.99,0.22,0,0.04,1.26,0,0,0,0
Tamagotchi Connection: Corner Shop,DS,2005,Simulation,Atari,0.1,0.02,1.12,0.01,1.26,59,20,7.7,6
Tomb Raider: Underworld,PS3,2008,Action,Eidos Interactive,0.45,0.55,0.05,0.22,1.26,75,42,7.2,166
Kung Fu Panda,DS,2008,Action,Activision,0.56,0.56,0,0.14,1.25,0,0,0,0
LEGO Battles,DS,2009,Strategy,Warner Bros. Interactive Entertainment,0.77,0.37,0,0.11,1.25,65,29,8.9,51
NBA Live 2001,PS,2000,Sports,Electronic Arts,0.7,0.47,0,0.08,1.25,86,10,8,6
Saints Row IV,PS3,2013,Action,Deep Silver,0.56,0.41,0.09,0.19,1.25,76,26,6.3,278
Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts,0.49,0,0.01,0.75,1.25,68,7,7.4,33
Combat,2600,N/A,Action,Atari,1.17,0.07,0,0.01,1.25,0,0,0,0
Watch Dogs,X360,2014,Action,Ubisoft,0.72,0.41,0.01,0.11,1.25,0,0,5,332
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,0.94,0.16,0.02,0.13,1.25,63,64,6.9,223
Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,0,0,1.25,0,1.25,0,0,0,0
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0,0,1.25,0,1.25,0,0,0,0
Reel Fishing,PS,1996,Sports,Natsume,0.99,0.13,0.1,0.04,1.25,0,0,0,0
Need for Speed: Most Wanted,X360,2005,Racing,Electronic Arts,1,0.13,0.02,0.1,1.25,83,54,8.5,134
Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25,64,27,8.3,74
Black,PS2,2006,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25,79,62,8.4,194
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,0.47,0.53,0.03,0.22,1.25,86,32,7.6,81
LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,0.35,0.61,0.02,0.27,1.25,88,71,8.6,348
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.48,0.35,0.34,0.08,1.25,69,44,8.8,190
RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1.19,0.05,0,0,1.25,74,22,8.5,135
Ratatouille,DS,2007,Action,THQ,0.49,0.62,0,0.14,1.25,0,0,0,0
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,0.61,0.48,0,0.16,1.25,52,37,6.2,106
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,0.52,0.56,0,0.17,1.25,87,45,8.6,34
Road Rash 3D,PS,1998,Racing,Electronic Arts,1.05,0.16,0,0.04,1.25,0,0,0,0
Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24,81,51,8.9,155
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,0.45,0.67,0,0.12,1.24,52,15,6.8,4
Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,Virgin Interactive,0.61,0.48,0,0.16,1.24,87,29,8.3,90
Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,0.75,0.44,0,0.06,1.24,85,10,9,96
Ridge Racer V,PS2,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,78,20,7.7,6
WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,0.69,0,0,0.55,1.24,78,9,6.9,34
Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24,0,0,0,0
LEGO Harry Potter: Years 5-7,Wii,N/A,Action,Warner Bros. Interactive Entertainment,0.69,0.42,0,0.12,1.24,76,8,7.8,13
Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision,0.82,0.38,0,0.04,1.24,61,44,8.1,54
[Prototype],PS3,2009,Action,Activision,0.65,0.4,0,0.19,1.24,79,53,7.7,308
Transformers: Autobots / Decepticons,DS,2007,Action,Activision,1.12,0.02,0,0.09,1.24,0,0,0,0
FIFA Street,PS3,2012,Sports,Electronic Arts,0.12,0.89,0,0.23,1.23,76,36,6.4,66
Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment,0.6,0.47,0,0.16,1.23,32,6,4.6,29
Madden NFL 17,XOne,2016,Sports,Electronic Arts,1.08,0.02,0,0.13,1.23,83,30,5.9,39
Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,91,89,8.8,152
Cars 2,DS,2011,Racing,Disney Interactive Studios,0.68,0.4,0.04,0.11,1.23,0,0,0,0
Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Universal Interactive,0.59,0.57,0,0.07,1.23,70,16,8.1,19
Driv3r,PS2,2004,Racing,Atari,0.6,0.47,0,0.16,1.23,57,51,5.5,102
Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,0.43,0.47,0.05,0.28,1.23,63,38,7.2,69
Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment,0.69,0.47,0,0.08,1.23,0,0,0,0
Kingdom Hearts II,PS3,2014,Role-Playing,Square Enix,0.52,0.35,0.18,0.18,1.23,0,0,0,0
LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment,0.64,0.49,0,0.11,1.23,80,49,8.5,73
Kirby Tilt 'n' Tumble,GB,2000,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23,0,0,0,0
SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,Platform,THQ,0.88,0.33,0,0.02,1.23,0,0,7.3,6
Vigilante 8,PS,1998,Racing,Activision,0.68,0.47,0,0.08,1.23,0,0,0,0
