number,name,platform,release_date,summary,meta_score,user_review
2587,Super Puzzle Fighter II, Game Boy Advance,"March 31, 2003","Hailed as the best puzzle game of all time, Super Puzzle Fighter is chock full of ferocious competition, pint-sized characters and non-stop high-energy insanity. Carefully stack the falling colored gems in strategic combinations. When the moment is right, use a crash gem to shatter your blocks. Watch your character execute a combo move and rain a volley of counter gems down on your opponent! Be the first to fill the other's screen with gems and K.O.!... you win!",83,0.0
2706,I Expect You To Die 2: The Spy And The Liar, PC,"August 24, 2021","Well, Agent, it looks like the Zoraxis organisation is up to their old tricks with a new scheme for world domination. It's up to you to expose their diabolical plot and put a stop to it. Putting your telekinetic abilities and problem solving skills to the ultimate test, you'll once again be risking your life to solve dastardly puzzles and decipher secret codes in all-new highly interactive environments and surroundings. Are you expected make it out alive? Of course not, you're expected to die!",83,0.0
2851,Atelier Mysterious Trilogy Deluxe Pack, Switch,"April 22, 2021","Atelier Sophie DX - Atelier Firis DX - Atelier Lydie & Suelle DX - with brand new content and various DLCs. The definitive edition fo the Atlier ""Myserious"" series is now available.",82,0.0
2952,Espgaluda II -Be Ascension. The Third Bright Stone of Birth-, Switch,"September 9, 2021","Galuda is a biological weapon that connects the Holy Spirit and humans through alchemy and mechanical engineering. The ""Shinra"" military nation, which gained power from Galuda, was destroyed by the two Galuda ""Ageha"" and ""Tateha"" they created. Three years have passed since that war. After an experiment involving contraindications, ""Soma"" artificially acquired Galuda's abilities. And the only Galuda to be born, ""Asagi"" who was the assassin of King Soma. ""Tsubame"" and ""Janome"" who are also artificial Galuda and prince and princess of the Soma country chasing Asagi. Then Ageha and Tateha go to Asagi's rescue to stop the tragedy. The battle with the real Galuda and the Galuda built is about to begin.",82,0.0
3079,The Ramp, PC,"August 3, 2021","You crave for flow? You just want to shred through a halfpipe without all the boring stuff? Say no more, The Ramp is your jam! The Ramp captures the unparalleled feeling of real life vert skateboarding and that's pretty much it. There is a lot this game doesn't feature. What it offers you are the 15 minutes of flow that make a boring day great, at the price of a medium sized cinnamon pistachio latte to go.",82,0.0
3106,NCAA College Basketball 2K3, GameCube,"December 2, 2002","NCAA College Basketball returns for another year of tournaments, chants, and rivalries. More than 300 Division I teams have been updated with accurate rosters, ratings, and schedules. Select a team and compete in conference tournaments, or create your own custom tournament from scratch. As you move up the ranks, you'll discover each school has its own mix of cheerleaders, chants, and fight songs. Now you can invade home courts online against players nationwide on the Xbox and PlayStation 2.",82,0.0
3147,SOLAS 128, Switch,"January 25, 2021","SOLAS 128 takes place within a neon clockwork mechanism that is under attack. A strange external force has taken over, leaving disarray in its wake. Players must carefully repair the machine by learning how it works, and solving over 150 interlocking screens of puzzles. At its heart, SOLAS 128 is a beam deflection game with a difference. Instead of light beams, the game is built around distinct pulses which move in perfect sync with the unique, neon-soaked synthwave soundtrack. Players will need to reflect, collide, merge, split, and filter these pulses to explore the strange space, and reconnect the pathways that have been destroyed. Soon puzzles will start to spill across multiple screens, and they’ll need to think big to orchestrate a solution for the game’s damaged clockwork.",82,0.0
3172,Super Hydorah, PC,"September 20, 2017","Super Hydorah is a nonlinear horizontal shoot em up designed to offer a challenging and memorable experience, sublimating the wisdom and richness of traditional shmup classics. The game has direct action, nostalgic art and a wide variety of unique spatial content and situations. It is hours of intense fun, alone or with your friends, to face the menace of the Meroptians aboard the Delta Lance.",82,0.0
3207,Olympia Soiree, Switch,"September 9, 2021","With her entire clan wiped out years ago, Olympia has been isolated for most of her life. Now she lives as the only person on Tenguu Island who can perform a ritual that restores light to a world shrouded in darkness. The heads of each Primary district Red, Blue, and Yellow lead a society governed by the island's rigid class structure. As Olympia travels between the districts, she discovers their wonders and their weaknesses, as well as an entire underground community of shunned individuals whom she becomes determined to help. If she can find the person destined to be her soulmate, she will finally be able to open her heart and reveal her true name, continue her bloodline, and save the world before it is destroyed.",82,0.0
3284,NASCAR Thunder 2002, Xbox,"November 14, 2001","The makers of Madden NFL hit the track with NASCAR Thunder™ 2002. Take on more than 50 NASCAR superstars on 23 Winston Cup Series tracks, with shockingly realistic damage effects, a complete ""rookie-to-champion"" career mode, and pit four gamers head-to-head on a single Xbox! It's NASCAR the way it was meant to be, from EA Sports.",82,0.0
3445,Star Wars Pinball VR, PC,"April 29, 2021","For the first time ever, Star Wars Pinball surrounds us in virtual reality! Star Wars Pinball VR collects 8 AMAZING TABLES: The Mandalorian Star Wars Episode IV: A New Hope Star Wars Episode V: The Empire Strikes Back Star Wars Episode VI: Return of the Jedi Rogue One: A Star Wars Story Star Wars Rebels Masters of the Force Classic Collectibles The fully customizable FAN CAVE houses your ""virtual"" pinball table and items you earn. TOTAL IMMERSION MODE allows you to experience everything at table level. 360-DEGREE MINIGAMES surround you with iconic Star Wars set pieces.",81,0.0
3462,NCAA March Madness 2004, Xbox,"November 17, 2003","NCAA March Madness 2004 storms the court with new schools, smoother control, and a deep Dynasty Mode. Take your school's team through the Maui Invitational preseason tournament all the way to the Big Dance. The unique, fast-paced college game comes to life with players applying full-court pressure ""D,"" diving on loose balls, and throwing it down big-time. You can even hoop it up in an online tournament. NCAA March Madness 2004 delivers the strategy, emotion, and passion that is college basketball.",81,0.0
3534,Capcom Classics Collection, Xbox,"September 27, 2005","Capcom serves up a collection of classic games in Capcom Classics Collection. You can relive more than 20 classic titles including 1942, Final Fight, Ghosts 'n Goblins, and Commando. The games can be played in either one- or two-player mode. Capcom Classics Collection also includes bonus material, such as remixed soundtracks, game tips, and original artwork.",81,0.0
3546,Jet Lancer, Switch,"May 12, 2020","Jet Lancer is a high-velocity aerial combat shooter where you duel enemy aviators, hunt giant robots, and defy death at supersonic speeds. You are Ash Leguinn: badass pilot, highly paid mercenary, and flight-school drop out. Your day job is fine - the daily grind of dealing with Sky Pirates pays the bills - but nothing compares to the rush of demolishing a ninety-ton mechanical monstrosity at the speed of sound. And you’ll have your chance. As mechanized weapons converge on Root City, you’ll have to be at the top of your game to survive, and you’ll have to surpass your limits if you want to save the world.",81,0.0
3599,The Sims 4: Cottage Living, PC,"July 22, 2021","Delight in the quaint charm of The Sims 4 Cottage Living Expansion Pack with animal friends, garden-to-table meals, and a close-knit community. Explore the forest to befriend woodland creatures, or head to town to meet the locals. Whether Sims are hugging a cow, making friends (or enemies) with their chickens, or growing the biggest vegetables around, the countryside presents abundant new ways to reconnect with the world.",81,0.0
3630,Fly Together!, Switch,"April 29, 2021","Fly TOGETHER! is a multiplayer game of explosive airplane action that will challenge your inner air traffic controller. The sequel to the award winning Conduct TOGETHER! takes players to the skies in a race against time to bring passengers safely to their destination by drawing flight paths and avoiding collisions in increasingly challenging action-puzzles. Fly Solo or hand a Joy-Con™ to your friends and co-pilot through an expansive campaign. Complete contracts, upgrade your airport and collect a growing fleet of airplanes. Fly against your friends in hectic up-to-8-player battles: throw meteors, invoke tornadoes or drop a giant cake on your opponents. The pilot who gets the most passengers safely to their destination wins. Here’s some rad things in this game • Pilot planes in a beautiful 3D world with handheld, stick and motion controls. • Simple and intuitive gameplay for everyone • Seamlessly shift between single and multiplayer. Play as the solo pilot or pass the Joy-Con™ to friends for up to 8 players • Transport passengers, earn coins and unlock new airplanes • Progress through exotic islands with unique themes • Fantastic soundtrack by composer Mikkel Gemzøe • From the Award winning team that brought you Conduct TOGETHER!",81,0.0
3677,Overboard!, PC,"June 2, 2021",GET AWAY WITH MURDER. Highly replayable detective game where you're the one whodunnit. From the creators of 80 Days and Heaven's Vault.,81,0.0
3678,Silicon Dreams, PC,"April 20, 2021","It’s 2065, and you are an interrogator-model android tasked with rooting out deviants among your own kind. You must probe for lies, monitor and exploit emotional spikes, earn the trust of your subjects, and make the final call: release, or destroy?",81,0.0
3749,Tiger Woods PGA Tour 07, PlayStation 3,"November 14, 2006","Tiger Woods Comes Alive — See and feel every emotion in complete detail with the introduction of all-new Universal Capture (UCAP) technology. Play Under Pressure — With bigger galleries, mass crowd movement from hole to hole, and cheers from nearby greens, all eyes are on you in tournament play. Enhanced Career Mode — From working on your driving to mastering your putting skills, craft your game with training challenges in the Practice Facility, then take on the world's best golfers on the World Tour. All-New Championship Courses — The course content doubles with the addition of new licensed courses, including Firestone Country Club, Glen Abbey, Princeville, Spyglass Hill, St Andrews, and Bandon Dunes. The game features 15 of the world's top players, including Tiger Woods, John Daly, Vijay Singh, Ian Poulter, Michael Campbell, and Annika Sorenstam, the most decorated golfer on the LPGA Tour. Show Your GameFace — The innovative character creation tool is revamped with deeper modifications, more apparel, equipment licenses, and specialty items. Challenge up to three players in five new game modes, or play in online tournaments complete with money lists, full stat tracking, league leaders, and more. More Game Modes — Work on your game or take on a friend in Match Play, Battle Golf, 21, OneBall, and more. [EA Sports]",81,0.0
3761,FORM, PC,"June 1, 2017",Enter a surreal adventure where puzzles are built from dreams and memories. Solve the mystery behind an ancient artifact. Advance through a world that transforms around you. Transcend this existence.,81,0.0
3781,Visage, PC,"October 29, 2020","Visage is a first-person psychological horror game. Explore a mysterious ever-changing house in a slow-paced, atmospheric world that combines both uncannily comforting and horrifyingly realistic environments, and enjoy a genuinely terrifying experience.",81,0.0
3798,Flanker 2.0, PC,"September 30, 1999","The usefulness of any combat system is a weapon. Flanker has a wide variety of air to air and air to ground missile and bomb systems which have realistic behavior and power. Using Russian satellite imagery Flanker provides photo-realistic terrain. The perfect flight dynamics, new 3D sound system, and accurate damage modeling offers players a true combat experience. [Eagle Dynamics]",81,0.0
3841,The Vale: Shadow of the Crown, PC,"August 19, 2021",CLOSE YOUR EYES. BECOME A WARRIOR: Feel your enemy’s rasping breath; a foot shifts on swampy ground; the crack of steel on wooden shield. The Vale is an audio based action adventure that sets out to breathe new life into medieval combat and fantasy narrative.,81,0.0
3953,Disc Room, Switch,"October 22, 2020","The year is 2089, and a giant disc has appeared in orbit of Jupiter. A crew of international scientists is formed in a desperate attempt to understand the mysterious secrets contained within. Step into the oversized space suit of a brave but reluctant scientist and explore this sprawling slaughterhouse from outer space. Attempt to discover the method behind its madness as you are relentlessly chased down by intelligent alien saw blades amid a seemingly endless labyrinth of interconnected death chambers. Stay sharp in order to navigate this murderous maze, as the seemingly straightforward slaughter unfurls into far more puzzling complexity. But, what kills you only makes you stronger. Absorb extraordinary abilities from the very discs that dice you into pieces. Invincibly dash, bend time, even clone yourself as you become one with the disc. Persistent punishment quickly solidifies into razor-sharp survival skills, as our scientist dies their way toward the deeper more devastating purpose of the disc. In Disc Room, the only way out is through Death.",81,0.0
3958,Lumines Remastered, Xbox One,"June 26, 2018","LUMINES REMASTERED is an HD remake of the original Lumines that debuted in 2004 on the PSP. Earning high praise and awards, it remained the top-rated title on the platform for four years and continued on to establish an action-puzzle series loved by millions of players. LUMINES REMASTERED beautifully marries the elements of sound, light and puzzle-action into one addictive, yet easy-to-play game. You’re at the center of the high-energy, block-dropping action while you groove to awesome house, trance and techno beats.",81,0.0
3971,The 2D Adventures of Rotating Octopus Character, PSP,"June 2, 2011","The 2D Adventures of Rotating Octopus Character is a twitchy, fast paced platform game which you control with just two buttons. Rotating Octopus Character can't stop spinning, and he sticks to everything, but he can change direction, and he can jump. So, armed with those two moves - Reverse, and Jump - you're tasked with helping ROC to collect all the baby octopi who have been so unfortunately scattered all over the world. The videogame world is full of hazards for a spinning octopus, too, so it's not just a case of jump-and-grab. Timing is everything to avoid sending ROC hurtling to his doom.",81,0.0
4002,Knockout Kings 2001, PlayStation 2,"February 5, 2001","All the egomaniacal, violent splendor of heavyweight boxing comes to the PlayStation 2 in Knockout Kings 2001 by EA Sports. This title employs EA's new CyberScan technology, which allows the boxers faces to be accurately reproduced in full polygonal glory. In addition to the graphical overhaul, the game features new modes of play and simplified control. Choose your champion from a stable of boxing's greatest, including Muhammad Ali, Joe Louis, Rocky Marciano, and Lennox Lewis. A new career mode allows you to play through several weight classes and to box at famous arenas all around the world.",81,0.0
4127,Transpose, PlayStation 4,"November 6, 2018","Transpose is a dreamlike VR puzzle game set in a universe where time and gravity are used as tools to manipulate the world. By creating and working with looped recordings of their actions, players must solve increasingly complex physics puzzles in a mysterious setting where notions of space and time no longer apply.",80,0.0
4210,Colin McRae Rally 2.0, Game Boy Advance,"September 16, 2002",The popular rally driving game comes to the Game Boy Advance.,80,0.0
4268,MLB Slugfest 20-03, GameCube,"September 3, 2002","MLB SlugFest 20-03 ignites America's national pastime with a torrid blend of aggressive, adrenaline-style action and authentic MLB credentials. Along with the series' signature brand of blazing fastballs, screaming line drives, and hard-hitting wall crashes, this year's Slugfest features more outrageous animations, fantasy players and stadiums, and extra DVD Content. Bolster your lineup MLB superstars, including Alex Rodriguez, and take your game to the next level.",80,0.0
4280,Sega Ages: Thunder Force AC, Switch,"May 28, 2020","Fasten your seatbelts! It's gonna be an eye popping, pulse pounding, mind blowing ride! Your super-powered starship is under attack on land, air and sea in this Action/Arcade thriller. But you're prepared to go out with a bang. Zap! Blast your way through a fire storm. Splash! Use the wave weapon to pulverize an enemy. It's an 8-stage intergalactic fight to the finish. And even the multi-level scrolling and haunting sound effects are out of this world. Boss characters with the most chillingly realistic graphics try to show you who's the boss. But if you're quick enough and smart enough, you can prevail.",80,0.0
4326,Foregone, Xbox One,"October 13, 2020","Foregone has players take on the role of the city of Calagan’s strongest Arbiter, tasked with investigating the sudden resurgence of an all-corrupting force known as the Harrow. The Arbiter will destroy legions of enemies, battle formidable bosses, and collect a wide array of upgradeable loot as she embarks on a twisted journey to unravel the haunting truth behind the Harrow. The intense, combat-focused title features fluid pixel artwork, combining old-school visual influences with modern 3D animation technology.",80,0.0
4329,Wintermoor Tactics Club, PC,"May 5, 2020","Wintermoor Tactics Club is a story about surviving high school, with gameplay inspired by tactics RPGs and visual novels. It was hard enough for Alicia at the famed Wintermoor Academy before it erupted into a snowball war! Now her club's only hope is to transform from nerdy nobodies into fantasy heroes. Unravel a reality-bending mystery. Test your strategic mettle against an avalanche of colorful characters. And don't forget to make friends.",80,0.0
4379,Blaster Master Zero III, Switch,"July 29, 2021","Series protagonist Jason travels to where the series all began, the planet Sophia, in order to save series heroine Eve in this final installment of the story.",80,0.0
4385,Karaoke Revolution Party, GameCube,"November 8, 2005","Now you can showcase your vocal skills in the next installment in Konami's singing series. Karaoke Revolution Party features 50 songs, new multiplayer and party modes, and EyeToy support.",80,0.0
4389,EA Sports Active More Workouts, Wii,"November 17, 2009",Visit a tropical resort and blast those abs in EA Sports Active: More Workouts.,80,0.0
4406,Zero D Beat Drop, Xbox 360,"November 11, 2009","[Xbox Live Arcade] The fusion of ""rhythm"" and ""puzzle"" creates a completely new kind of game in 0D Beat Drop! Drop pieces along with the beat, and go for the win with explosive chains. In addition to the single player mode with over 100 stages, online play includes options such as playing against a single player, playing with four players total, or having a team battle! The unique ""Beat-O-Matic"" function analyzes your own songs and lets you use them in the game. Feel the rhythm of the beat! [Arc System Works]",80,0.0
4614,Natsuki Chronicles, PlayStation 4,"February 18, 2021",New dramatic horizontal shoot ’em up that takes place in the same setting as Ginga Force. An immersive story that follows protagonist Natsuki. Discover the story of her past as a rookie pilot up to present day with events that are parallel to those in Ginga Force.,80,0.0
4631,Essays on Empathy, PC,"May 18, 2021","A curated compilation of Deconstructeam's best efforts in seeking new narrative experiences in games. Explore 10 unique, offbeat tales including ""De Tres al Cuarto,"" a brand new short experience exclusive to the compilation about a couple of two-bit comedians trying to make it big.",80,0.0
4639,Karaoke Revolution Party, Xbox,"November 8, 2005","Now you can showcase your vocal skills in the next installment in Konami's singing series. Karaoke Revolution Party features 50 songs, new multiplayer and party modes, and EyeToy support.",80,0.0
4673,TOEM, Switch,"September 17, 2021","A photo adventure. Set off on a delightful expedition and use your photographic eye to uncover the mysteries of the magical TOEM in this hand-drawn adventure game. Chat with quirky characters, solve their problems by snapping neat photos, and make your way through a relaxing landscape! Key Features - Take photos with your camera to solve puzzles and help people! - Listen to chill beats and take in your surroundings! - Meet quirky characters and help them with their problems!",80,0.0
4675,Signs of the Sojourner, Switch,"March 18, 2021",Signs of the Sojourner is a narrative card game about relationships and communication. Encounters are conversations rather than combat. Your ability to navigate social situations and understand different perspectives is based on an expressive card game experience.,80,0.0
4758,Space Invaders Extreme, PC,"February 12, 2018","SPACE INVADERS EXTREME combines the captivating essence of the original game with a stunning alliance of futuristic graphic design and cutting-edge audio. The gameplay experience has been developed to maximise on the consoles' abilities, offering players a whole new range of amazing features including a vast array of new power-ups.",79,0.0
4796,Rubik's Puzzle Galaxy: RUSH, Wii,"December 14, 2009","[WiiWare] Rubik's Puzzle Galaxy: RUSH is a 3-D puzzle game with more than 70 challenging levels. Players need to guide Cubes to color-coded exit points. Using the Wii Remote controller's intuitive controls, players herd the colored cubes along by using Conveyer Belts, Warps, Stop Signs, Directional Signs and Splits. RUSH also includes the original Rubik's Cube as a bonus. Players can attempt to solve one of the four different-sized Cubes alone, compete against a second player or learn how to solve the classic Rubik's Cube. [Nintendo]",79,0.0
4799,Puzzle Dimension, PlayStation 3,"June 28, 2011",Puzzle Dimension is a 3D puzzle game.,79,0.0
4807,NHL 2003, GameCube,"September 30, 2002","In order to become a superstar in the NHL, you'll need a combination of speed, power, and moves. NHL 2003 gives you the abilities of all the stars and teams of pro hockey, but it's up to you to master them. This time, you have full control of the puck with Dynamic Deke Control and accurate puck physics. The game also features four game modes, including Create-a-Player, enhanced sounds and animations, and dynamic camera work to bring you closer to the NHL action.",79,0.0
4812,Rowan's Battle of Britain, PC,"January 31, 2001","A real-time combat flight simulation depicting the Luftwaffe's raids over British skies. With over 800 square miles of sky and over 1,000 attacking aircraft, gamers finally have the chance to experience the amazing scope of one of the largest air raids ever. [Empire Interactive]",79,0.0
4901,Neo Geo Pocket Color Selection Vol. 1, Switch,"March 17, 2021","Relive the 10 classic games that defined the NEOGEO POCKET COLOR! ■Four stellar games have been added to the six already on sale for a total of 10 amazing classics for you to enjoy! ■View 3D models of the games and their cartridges. Zoom in and take a look around! ■Of course, titles compatible with the NEOGEO POCKET can be displayed in monochrome mode! ■Take on a friend in either Tabletop or Handheld Modes! (Not available for some titles)",79,0.0
4987,Helheim Hassle, PlayStation 4,"January 20, 2021","Helheim Hassle is a narrative adventure game with puzzle platforming elements. Play as Bjørn, a pacifist Viking that can detach and combine limbs at will to solve challenging puzzles and get out of uncomfortable situations involving desperate Norse Gods, Goblins, Dragons, and angry skeletons.",79,0.0
4999,Zen Pinball 2: Bethesda Pinball, PlayStation 4,"December 6, 2016",,79,0.0
5017,Jumpgate: The Reconstruction Initiative, PC,"September 23, 2001","Real Time Spaceflight and Combat are but two elements in this Massively Multiplayer Online Spaceflight Simulation. Team up with others to actually ""re-create"" a universe with all that such an enterprise entails. Interact with squadron members and wayward travelers, struggle to stay on course in the face of solar storms, and battle mysterious adversaries (both human and alien). [3DO]",79,0.0
5018,Aqua Aqua, PlayStation 2,"January 9, 2001","AquaAqua™ is an addictive, fast-action, water-based puzzle game of strategy and control set in a liquid landscape. Trap water by positioning pieces as fast as they fall to form dams and lakes. Watch the weather; if it rains too much your lake will overflow and your valuable water goes down the drain. If you lose too much water it's ""game over.""",79,0.0
5157,MTX Mototrax, Xbox,"March 2, 2004","Push your bike to the limit. MTX: Mototrax challenges race against seven other riders, perform outrageous gravity-defying stunts, and develop a career as an motocross athlete. Play as or against any of the 12 top riders, earning money from contest wins and sponsorships to spend on customizing your attributes, upgrading your equipment, or buying access to new environments. If you think you're the best, prove it in the online multiplayer mode, which includes over 25 tracks. Accept the MTX: Mototrax challenge to become the ultimate motocross racer.",79,0.0
5161,The Last Show of Mr. Chardish, PC,"November 5, 2020","Decades have passed and the Actress, Ella, returns to the abandoned theatre to uncover a preserved collection of extraordinary performances. Explore a variety of magical, hand-painted worlds as you collect the lost pieces of the past.",79,0.0
5225,Astrologaster, Switch,"February 18, 2021","Play as ‘Doctor’ Simon Forman - unlicensed medical professional and astrologer - and help him win a medical licence. Astrologaster is a narrative-based comedy game. Explore Forman’s life, his work, and his relationships with his clients. Make story choices by performing astrological readings. Choose strategically or make decisions just for fun - but be aware that your choices will have consequences (and unpredictable side effects!) 13 clients come to see you 5-7 times seeking advice for personal, professional and medical problems. By examining the stars in the sky, you diagnose and determine answers for your clients’ problems. As well as affecting the storyline, these choices will alter your clients’ satisfaction levels. Satisfied clients will write you letters of recommendation, and with enough of these letters you can obtain a medical licence from the University of Cambridge. So-called “real” (licensed) doctors call Forman a quack and fraud. Help Forman prove these medical establishment elitists wrong!",79,0.0
5241,World to the West, Xbox One,"May 5, 2017","A young Teslamancer, an optimistic underdog, a seasoned explorer and a strongman aristocrat out of his depth find themselves flung into an adventure none of them signed up for. In a land that holds secrets best left forgotten, the four heroes must use their unique abilities to find glory, get revenge, and for some, simply find a way home. [XBox.com]",79,0.0
5259,Blizzard Arcade Collection, PC,"February 19, 2021","Relive the Legacy: Experience a blast from Blizzard's past! The Blizzard® Arcade Collection brings three of our classic console games to modern platforms and new audiences. INCLUDED GAMES: • Blackthorne®: As mercenary captain Kyle Blackthorne, traverse an alien planet, liberate the Androthi people, and claim your destiny. • The Lost Vikings®: Help three Vikings—Erik, Baleog, and Olaf—overcome challenging platforms and puzzles to find their way back home. • Rock N Roll Racing®: Rock out in the raddest vehicular destruction derby this side of 1993. RNRR is back with original rock and metal soundtrack hits plus a few new surprises. LEVEL UP THE LEGACY: The Blizzard Arcade Collection contains two different Original Editions of each game plus a new Definitive Edition! • The Original Editions are the games as you remember them but with new quality of life improvements included—like the ability to set custom keybindings, rewind your gameplay up to 10 seconds, save and load your game as well as watch playthroughs of Blackthorne and The Lost Vikings (and then jump in to play at any point). Improvements may vary by game and game edition.",79,0.0
5262,Rival Megagun, PlayStation 4,"November 29, 2018",Transform into your Mega Gunship boss form to blast your rival head-on in this unique shooting game with a competitive twist.,79,0.0
5294,Olija, Xbox One,"January 28, 2021","Olija is a game about Faraday's quest, a man shipwrecked then trapped in the mysterious country of Terraphage. Armed with a legendary harpoon, he and other castaways try to leave this hostile country to return to their homelands. Through adventurous exploration, narration and razor sharp combat, the player will discover a strange world and its inhabitants, including Olija, an enigmatic lady that Faraday finds himself bound to over time. Inspired by swashbuckling tales and cinematic adventure games, Olija is a story about facing the unknown in adversity.",79,0.0
5352,Olija, PlayStation 4,"January 28, 2021","Your PS4, a powerful gate to other worlds, will take you to Terraphage, a wild land filled with new challenges and ancient tales.",78,0.0
5377,Dave Mirra Freestyle BMX 3, Game Boy Advance,"November 26, 2002",The game just feels like a BMX video game on a handheld system ought to feel--like a miniaturized version of its console cousin without any compromises or cutbacks.,78,0.0
5383,Swing Away Golf, PlayStation 2,"October 25, 2000","Swing Away Golf is a game whose features and execution could barely be explained by a book, let alone by a review.",78,0.0
